1;250180590;RYBNIK-STODO£Y;Ruda (1156)
2;254140010;DZIWN”W;
3;250160530;ZIELENIEC;Bystrzyca Dusznicka (1218)
4;250160630;MI DZYG”RZE;Wilczka (1212)
5;250160650;MI DZYLESIE;Nysa K≥odzka (12)
6;250170110;DOBROGOSZCZ;Pluskawa (133646)
7;250170250;OTMUCH”W;Nysa K≥odzka (12)
8;250170290;DZIEWI TLICE;åwidna (12548)
9;250170330;G£UCHO£AZY;Bia≥a G≥ucho≥aska (1258)
10;250170340;JARNO£T”WEK;Z≥oty Potok (117644)
11;250170390;G£UBCZYCE;Psina (1152)
12;250180190;KRUPSKI M£YN;Ma≥a Panew (118)
13;250180270;åWIERKLANIEC;Brynica (2126)
14;250190010;JANUSZEWICE;Czarna (W≥oszczowska) (2542)
15;250190030;SILNICZKA;Pilica (254)
16;251200290;TEOFIL”W;Pilica (254)
17;354190160;ELBL•G-MILEJEWO;Elblπg (54)
18;249180020;WARSZOWICE;Pszczynka (2116)
19;249180070;MAZA—COWICE;Wapienica (21128)
20;251200220;W£OCH”W;Kamienna (234)
21;251200250;SUCHEDNI”W;Kamienna (234)
22;250190140;ØARKI;Warta (18)
23;251210230;STARACHOWICE;Kamienna (234)
24;251210240;BRODY I£ØECKIE;Kamienna (234)
25;252230080;NOWE MASIEWO;Narew (26)
26;251220040;RADZY— PODLASKI;Tyúmienica (248)
27;252160050;RYCZYW”£;We≥na (186)
28;252170060;JANOWIEC WIELKOPOLSKI;We≥na (186)
29;252180260;TUREK;Kie≥baska (18334)
30;252190120;ØYCHLIN;Bzura (272)
31;252200080;BORKOWO;Wkra (268)
32;252210050;PU£TUSK;Narew (26)
33;252220050;BRA—SK;Nurzec (2666)
34;252220120;TONKIELE;Bug (266)
35;252230010;NOWOSADY;Ko≥onna (2611316)
36;252230030;BONDARY;Narew (26)
37;252230040;NAREW;Narew (26)
38;252230090;CHRABO£Y;Orlanka (2614)
39;252230120;BIA£OWIEØA;Narewka (2612)
40;253140010;WOLIN;Cieúnina Dziwna (35)
41;253150070;£AB DZIE;Rega (42)
42;253150130;LISOWO;Krπpiel (1988)
43;249200220;ROZTOKA;Dunajec (214)
44;249200240;PTASZKOWA;£ubinka (21434)
45;249200260;£•CKO;Dunajec (214)
46;249200270;TURBACZ;Raba (2138)
47;249200280;£ABOWA;Kamienica (21432)
48;249200290;OCHOTNICA G”RNA;Dunajec (214)
49;249200320;£OPUSZNA;Dunajec (214)
50;249200330;STUDZIONKI;Dunajec (214)
51;249200340;D BNO;Bia≥ka (214154)
52;249200350;HUTA;Kamienica (21432)
53;249200360;MIZERNA;Dunajec (214)
54;249200370;KROåCIENKO;Dunajec (214)
55;249200420;NIEDZICA;Niedziczanka (214172)
56;249200450;BIA£KA TATRZA—SKA;Bia≥ka (214154)
57;249200480;BUKOWINA TATRZA—SKA;Bia≥ka (214154)
58;249200490;MUSZYNA;Poprad (2142)
59;249200530;£YSA POLANA;Bia≥ka (214154)
60;249200540;HALA G•SIENICOWA;Dunajec (214)
61;249200550;DOLINA PI CIU STAW”W;Dunajec (214)
62;249210010;PILZNO;Wis≥oka (218)
63;249210040;ØARNOWA;Wis≥ok (226)
64;249210070;BIECZ-GRUDNA;Ropa (2182)
65;249210080;JAS£O;Jasio≥ka (2184)
66;249210090;GORLICE;SÍkÛwka (21826)
67;249180130;CIESZYN;Olza (114)
68;249180160;BRENNA;Brennica (21114)
69;249180210;SZCZYRK;So≥a (2132)
70;249180220;CZANTORIA;Wis≥a (2)
71;249180230;WIS£A;Wis≥a (2)
72;249180240;WIS£A-MALINKA;Malinka (21112)
73;249180260;ISTEBNA-KUBALONKA;Olza (114)
74;249180280;ISTEBNA-STEC”WKA;Olza (114)
75;249190030;LIBERT”W;Wis≥a (2)
76;249190050;RADZISZ”W;Skawinka (21356)
77;249190060;SIEPRAW;Skawinka (21356)
78;249190090;INWA£D;Skawa (2134)
79;249190130;MI DZYBRODZIE BIALSKIE;So≥a (2132)
80;249190140;LESKOWIEC;Skawa (2134)
81;249190170;BOGDAN”WKA;Raba (2138)
82;249190190;MAK”W PODHALA—SKI;Skawa (2134)
83;249190220;åLEMIE—;So≥a (2132)
84;249190240;LACHOWICE KRALE;Skawa (2134)
85;249190280;KRZECZ”W;Raba (2138)
86;249190340;KOSZARAWA;So≥a (2132)
87;249190350;ZAWOJA;Skawica (21344)
88;249190390;MARKOWE SZCZAWINY;Skawa (2134)
89;249190410;MIL”WKA;So≥a (2132)
90;249190430;SOPOTNIA WIELKA;So≥a (2132)
91;249190440;KORBIEL”W;So≥a (2132)
92;249190480;LALIKI;So≥a (2132)
93;249190520;OBIDOWA;Raba (2138)
94;249190540;RAJCZA;So≥a (2132)
95;249190580;RYCERKA G”RNA;So≥a (2132)
96;249190610;RATU£”W;Wielki Rogoünik (214116)
97;249190620;BA—SKA WYØNA;Bia≥y Dunajec (21412)
98;249190630;WIT”W;Czarny Dunajec (21411)
99;249190640;NOWE BYSTRE;Wielki Rogoünik (214116)
100;249190660;KOåCIELISKO-KIRY;Kirowa Woda (214112)
101;249190680;HALA ORNAK;Dunajec (214)
102;249200050;STRADOMKA;Stradomka (21388)
103;249200060;GNOJNIK;Uszwica (21396)
104;249200070;DOBCZYCE;Raba (2138)
105;249200110;JOD£OWNIK;Stradomka (21388)
106;249200130;JASTRZ BIA;Bia≥a (2148)
107;249200140;W GL”WKA;Raba (2138)
108;249200180;LIMANOWA;£ososina (21472)
109;249200210;P”£RZECZKI;£ososina (21472)
110;249180090;RUDZICA;I≥ownica (2112)
111;250150190;KOWARY;Jedlica (16188)
112;250150220;KARPACZ;Ska≥ka (161844)
113;250150240;PACZYN;Bachorzyna (161154)
114;250150250;PAPROTKI;Bachorzyna (161154)
115;250150260;BUK”WKA;BÛbr (16)
116;250160070;BOR”W;ålÍza (1336)
117;250160090;PSZENNO;Pi≥awa (1344)
118;250160120;LUBOMIN;Dop≥yw z Lubomina (134822)
119;250160130;SZCZAWNO-ZDR”J;Szczawnik (134864)
120;250160150;KAMIENNA G”RA;BÛbr (16)
121;250160170;LUBACH”W;Bystrzyca (134)
122;250160190;BOGUSZ”W-GORCE;Lesk (1616)
123;250160260;DZIERØONI”W;Pi≥awa (1344)
124;250160270;WALIM;Walimka (13418)
125;250160290;CHE£MSKO åL•SKIE;Zadrna (1614)
126;250160350;SREBRNA G”RA;BudzÛwka (1232)
127;250160450;KUDOWA-ZDR”J;Klikawa (946)
128;250160480;S£OSZ”W;Wapienny (12182)
129;250160490;POLANICA-ZDR”J;Bystrzyca Dusznicka (1218)
130;250160510;O£DRZYCHOWICE K£ODZKIE;Bia≥a Lπdecka (1216)
131;252210290;RYBIENKO;Bug (266)
132;353210280;MIKO£AJKI;Jez. Miko≥ajskie (26439)
133;354220195;SUWA£KI;Czarna HaÒcza (64)
134;350170530;OPOLE;Odra (1)
135;350190566;KRAK”W-BALICE;Wis≥a (2)
136;349190625;ZAKOPANE;Dunajec (214)
137;352150300;GORZ”W WIELKOPOLSKI;Warta (18)
138;351180435;KALISZ;Prosna (184)
139;352180345;KO£O;Warta (18)
140;353160230;PI£A;Gwda (1886)
141;352160330;POZNA—;Warta (18)
142;352140310;S£UBICE;Odra (1)
143;353160215;SZCZECINEK;Gwda (1886)
144;351180455;WIELU—;Warta (18)
145;353170235;CHOJNICE;Brda (292)
146;354160105;KOSZALIN;DzierøÍcinka (45614)
147;350150500;JELENIA G”RA;BÛbr (16)
148;351160415;LEGNICA;Kaczawa (138)
149;351160418;LESZNO;Strzyøewicki RÛw (14884)
150;350150510;åNIEØKA;£omniczka (16184)
151;351160424;WROC£AW;Odra (1)
152;250190470;KRAK”W-WOLA JUSTOWSKA;Wis≥a (2)
153;253160010;S POLNO WIELKIE;Bia≥a (188624)
154;253160020;OS”WKO;ParsÍta (44)
155;253160110;JASTROWIE;Gwda (1886)
156;253170060;ZAP DOWO;Brda (292)
157;253170160;SYPNIEWO;£obøonka (1884)
158;253180040;STAROGARD GDA—SKI;Wierzyca (298)
159;253180060;CZARNA WODA;Wda (294)
160;253180090;åLIWICE;Wda (294)
161;253180150;GRUDZI•DZ;Wis≥a (2)
162;253180220;BYDGOSZCZ;Brda (292)
163;253190030;DOBROCIN;DrwÍca (28)
164;253190070;PRABUTY;Nogat (52)
165;253190220;LIDZBARK;Wel (286)
166;253210130;SZCZYTNO;Omulew (2654)
167;253210170;ROZOGI;Szkwa (26518)
